ID 1,Name,weitere Bezeichnung,Datum,Jahr,Originaleintrag
575,Liste Steiermark,"Kurzbezeichnung ""Liste""",21.06.2010,2010,"575 ""Liste Steiermark"", Kurzbezeichnung ""Liste"" 21.06.2010"
576,Liste Unabhängiger MedizinerInnen,(LUM),02.04.1997,1997,"576 ""Liste Unabhängiger MedizinerInnen"" (LUM) 02.04.1997"
577,Liste Unabhängiger Studierender,"Kurzbezeichnung ""LUST""",27.02.1995,1995,"577 ""Liste Unabhängiger Studierender"", Kurzbezeichnung ""LUST"" 27.02.1995"
578,LISTE VÖSENDORF 2000,,10.03.1998,1998,"578 ""LISTE VÖSENDORF 2000"" 10.03.1998"
579,LM Arbeitsgemeinschaft für Medienproduktion,"Kurzbezeichnung ""LM""",22.02.1989,1989,"579 ""LM Arbeitsgemeinschaft für Medienproduktion"", Kurzbezeichnung ""LM"" 22.02.1989"
580,LSF-Die Liberalen Linz,,12.04.2001,2001,"580 ""LSF-Die Liberalen Linz"" 12.04.2001"
581,Manfred Bauer,,04.08.1992,1992,"581 ""Manfred Bauer"" 04.08.1992"
582,Männerpartei,,04.02.2008,2008,"582 ""Männerpartei"" 04.02.2008"
583,Marco Polo-Gesellschaft,"Untertitel ""Gesellschaft zur Förderung europäisch-chinesischer Kooperation""",30.03.1981,1981,"583 ""Marco Polo-Gesellschaft"", Untertitel ""Gesellschaft zur Förderung europäisch-chinesischer Kooperation"" 30.03.1981"
584,Marxistische Gruppe (MG),,15.03.1985,1985,"584 ""Marxistische Gruppe (MG)"" 15.03.1985"
585,Marxistisch-Leninistische Partei Österreichs (MLPÖ),,05.08.1983,1983,"585 ""Marxistisch-Leninistische Partei Österreichs (MLPÖ)"" 05.08.1983"
586,Medaillon,,30.11.1994,1994,"586 ""Medaillon"" 30.11.1994"
587,Mehrheitspartei,,17.07.2000,2000,"587 ""Mehrheitspartei"" 17.07.2000"
588,MENSCH UND GESELLSCHAFT,,28.03.1990,1990,"588 ""MENSCH UND GESELLSCHAFT"" 28.03.1990"
589,Menschenrechts-Partei,"(Kurzbezeichnung: ""MRP"" englisch ""human rights party"")",30.12.2013,2013,"589 ""Menschenrechts-Partei"" (Kurzbezeichnung: ""MRP"", englisch ""human rights party"") 30.12.2013"
590,Milser Dorf Blatt,,26.01.1996,1996,"590 ""Milser Dorf Blatt"" 26.01.1996"
591,Mit Anstand,(Anstaendig),07.12.2011,2011,"591 ""Mit Anstand"" (Anstaendig) 07.12.2011"
592,Mitte-Partei Österreichs,"kurz ""MPÖ""",18.06.2012,2012,"592 ""Mitte-Partei Österreichs"", kurz ""MPÖ"" 18.06.2012"
593,Mosaik,,16.06.1988,1988,"593 ""Mosaik"" 16.06.1988"
594,MUTBÜRGER,"kurz ""MUT""",24.10.2012,2012,"594 ""MUTBÜRGER"", kurz ""MUT"" 24.10.2012"
595,NACHBAR IN NOT,,10.11.1995,1995,"595 ""NACHBAR IN NOT"" 10.11.1995"
596,NATIONAL - FREIHEITLICHE,(NF),08.07.1987,1987,"596 ""NATIONAL - FREIHEITLICHE"" (NF) 08.07.1987"
597,National Freiheitliche Aktion,"abgekürzt ""NFA""",20.04.1984,1984,"597 ""National Freiheitliche Aktion"", abgekürzt ""NFA"" 20.04.1984"
598,Nationaldemokratische Partei (NDP),,01.08.1975,1975,"598 ""Nationaldemokratische Partei (NDP)"" 01.08.1975"
599,Nationale Errettungspartei,(NEP),14.10.1983,1983,"599 ""Nationale Errettungspartei"" (NEP) 14.10.1983"
600,NATIONALE FRONT,,09.07.1984,1984,"600 ""NATIONALE FRONT"" 09.07.1984"
601,Nationale Rechtspartei - N.R.P.,,07.09.1977,1977,"601 ""Nationale Rechtspartei - N.R.P."" 07.09.1977"
602,NATIONALE VOLKS-PARTEI,(N V P),05.02.2008,2008,"602 ""NATIONALE VOLKS-PARTEI"" (N V P) 05.02.2008"
603,Nationale Volkspartei,"kurz ""NVP""",08.11.2007,2007,"603 ""Nationale Volkspartei"", kurz ""NVP"" 08.11.2007"
604,National-Europäische-Partei-Österreich,Kurzform N.E.P.Ö.,28.02.1983,1983,"604 ""National-Europäische-Partei-Österreich"", Kurzform N.E.P.Ö. 28.02.1983"
605,National-freiheitliche Aktion (NFA),,17.05.1984,1984,"605 ""National-freiheitliche Aktion (NFA)"" 17.05.1984"
606,National-freiheitliche Partei (NFP),,21.05.1984,1984,"606 ""National-freiheitliche Partei (NFP)"" 21.05.1984"
607,National-freiheitliche Sammlung (NFS),,21.05.1984,1984,"607 ""National-freiheitliche Sammlung (NFS)"" 21.05.1984"
608,Nationalistische Befreiungs Front,(NBF),13.12.1979,1979,"608 ""Nationalistische Befreiungs Front"" (NBF) 13.12.1979"
609,Nationalistischer Bund Nordland (NBN),,18.06.1979,1979,"609 ""Nationalistischer Bund Nordland (NBN)"" 18.06.1979"
610,National-Konservative Union (NAKU),,02.05.1985,1985,"610 ""National-Konservative Union (NAKU)"" 02.05.1985"
611,NATIONALREALISTISCHE ORDNUNGSPARTEI (NROP),,24.08.1976,1976,"611 ""NATIONALREALISTISCHE ORDNUNGSPARTEI (NROP)"" 24.08.1976"
612,Naturschutz Aktiv,,15.06.1984,1984,"612 ""Naturschutz Aktiv"" 15.06.1984"
613,Naturschutz Aktiv,,23.07.1986,1986,"613 ""Naturschutz Aktiv"" 23.07.1986"
614,NEIN zur Atom-EU Bürgerliste Neutrales Österreich,,15.03.1994,1994,"614 ""NEIN zur Atom-EU Bürgerliste Neutrales Österreich"" 15.03.1994"
615,NEIN-Idee Österreich,Kurzbezeichnung: NEIN!,23.03.2015,2015,"615 ""NEIN-Idee Österreich"", Kurzbezeichnung: NEIN! 23.03.2015"
