Jahr;Organisation;Betrag
2005;Österr. Trachtenjugend;0.00
2006;Österr. Trachtenjugend;72672.60
2007;Österr. Trachtenjugend;72672.60
2008;Österr. Trachtenjugend;72672.60
2009;Österr. Trachtenjugend;81672.40
2010;Österr. Trachtenjugend;81672.40
2011;Österr. Trachtenjugend;81672.40
2012;Österr. Trachtenjugend;81672.40
2013;Österr. Trachtenjugend;81672.40
2014;Österr. Trachtenjugend;81672.8
2015;Österr. Trachtenjugend;81672.40
2005;Penäler Ring Österr.;29069.20
2006;Penäler Ring Österr.;29069.20
2007;Penäler Ring Österr.;29069.20
2008;Penäler Ring Österr.;29069.20
2009;Penäler Ring Österr.;37534.60
2010;Penäler Ring Österr.;38034.60
2011;Penäler Ring Österr.;38069.17
2012;Penäler Ring Österr.;38069.20
2013;Penäler Ring Österr.;38069.17
2014;Penäler Ring Österr.;38068.6
2015;Penäler Ring Österr.;38068.60
2005;Pfadfinder und Pfadfinderinnen Österr.;290691.40
2006;Pfadfinder und Pfadfinderinnen Österr.;290691.40
2007;Pfadfinder und Pfadfinderinnen Österr.;280691.40
2008;Pfadfinder und Pfadfinderinnen Österr.;290691.40
2009;Pfadfinder und Pfadfinderinnen Österr.;282461.70
2010;Pfadfinder und Pfadfinderinnen Österr.;299691.40
2011;Pfadfinder und Pfadfinderinnen Österr.;299691.40
2012;Pfadfinder und Pfadfinderinnen Österr.;299691.40
2013;Pfadfinder und Pfadfinderinnen Österr.;299691.40
2014;Pfadfinder und Pfadfinderinnen Österr.;299691.4
2015;Pfadfinder und Pfadfinderinnen Österr.;297691.40
2005;Ring Freiheitlicher Jugend Österr.;116276.60
2006;Ring Freiheitlicher Jugend Österr.;72672.80
2007;Ring Freiheitlicher Jugend Österr.;174414.90
2008;Ring Freiheitlicher Jugend Österr.;174414.90
2009;Ring Freiheitlicher Jugend Österr.;234285.90
2010;Ring Freiheitlicher Jugend Österr.;234285.90
2011;Ring Freiheitlicher Jugend Österr.;234285.90
2012;Ring Freiheitlicher Jugend Österr.;234285.90
2013;Ring Freiheitlicher Jugend Österr.;241553.20
2014;Ring Freiheitlicher Jugend Österr.;241553.2
2015;Ring Freiheitlicher Jugend Österr.;248820.50
2005;Schülerunion Österr.;72672.80
2006;Schülerunion Österr.;72672.80
2007;Schülerunion Österr.;72672.80
2008;Schülerunion Österr.;72672.80
2009;Schülerunion Österr.;81672.80
2010;Schülerunion Österr.;81672.80
2011;Schülerunion Österr.;81614.57
2012;Schülerunion Österr.;81672.80
2013;Schülerunion Österr.;81672.80
2014;Schülerunion Österr.;81672.8
2015;Schülerunion Österr.;81672.80
2005;Sozialistische Jugend Österr.;406968.10
2006;Sozialistische Jugend Österr.;406968.10
2007;Sozialistische Jugend Österr.;406968.10
2008;Sozialistische Jugend Österr.;406968.10
2009;Sozialistische Jugend Österr.;365097.10
2010;Sozialistische Jugend Österr.;365097.10
2011;Sozialistische Jugend Österr.;365097.10
2012;Sozialistische Jugend Österr.;365097.10
2013;Sozialistische Jugend Österr.;365097.10
2014;Sozialistische Jugend Österr.;365097.1
2015;Sozialistische Jugend Österr.;365097.10
2005;Team 2.0 - Junges Team Stronach;0.00
2006;Team 2.0 - Junges Team Stronach;0.00
2007;Team 2.0 - Junges Team Stronach;0.00
2008;Team 2.0 - Junges Team Stronach;0.00
2009;Team 2.0 - Junges Team Stronach;0.00
2010;Team 2.0 - Junges Team Stronach;0.00
2011;Team 2.0 - Junges Team Stronach;0.00
2012;Team 2.0 - Junges Team Stronach;0.00
2013;Team 2.0 - Junges Team Stronach;0.00
2014;Team 2.0 - Junges Team Stronach;109009.3
2015;Team 2.0 - Junges Team Stronach;118009.30
2005;Verein Jugend für eine geeinte Welt;29069.20
2006;Verein Jugend für eine geeinte Welt;29069.20
2007;Verein Jugend für eine geeinte Welt;29069.20
2008;Verein Jugend für eine geeinte Welt;29069.20
2009;Verein Jugend für eine geeinte Welt;38069.20
2010;Verein Jugend für eine geeinte Welt;38069.20
2011;Verein Jugend für eine geeinte Welt;38069.20
2012;Verein Jugend für eine geeinte Welt;38069.20
2013;Verein Jugend für eine geeinte Welt;38069.20
2014;Verein Jugend für eine geeinte Welt;38069.2
2015;Verein Jugend für eine geeinte Welt;38069.20
